id,name,title,gender,role
AĐ009,Ante Đerek,izv. prof. dr. sc.,M,izvanredni profesor
MĐ021,Marko Đurasević,izv. prof. dr. sc.,M,izvanredni profesor
IĐ001,Ivan Đurek,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
EE002,"Edi Emanović,",mag. ing. el. techn. inf.,M,asistent
IE000,Igor Erceg,prof. dr. sc.,M,redoviti profesor
ME000,Mario Essert,izv. prof. dr. sc.,M,izvanredni profesor
SF003,Siniša Fajt,prof. dr. sc.,M,redoviti profesor
LF000,Luka Ferković,izv. prof. dr. sc.,M,izvanredni profesor
KF003,Krešimir Fertalj,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
MF128,Mario Filipašić,dr. sc. tech.,M,povjera predavanja
DF037,Davor Filipović,prof. dr. sc.,M,redoviti profesor
DF047,Dalibor Filipović Grčić,dr. sc. -,M,znanstveni suradnik
BF018,Božidar Filipović-Grčić,izv. prof. dr. sc.,M,izvanredni profesor
BF021,Bojan Franc,dr. sc.,M,povjera predavanja
PF007,"Petar Franček,",dipl. ing.,M,asistent
NF022,Nikolina Frid,doc. dr. sc.,F,docent
SF041,Stjepan Frljić,dr. sc.,M,povjera predavanja
MF124,"Marina Furkes,",mag. educ. math. et phys.,F,asistent
TG068,Tereza Gabelić,dr. sc.,F,viši asistent
VG078,"Vlatko Galić,",mag. ing. el. techn. inf.,M,asistent
ZG020,Zdravko Galić,doc. dr. sc.,M,docent
TG015,Tihana Galinac Grbac,prof. dr. sc.,F,redoviti profesor
MG245,Mate Gambiraža,,M,asistent
IG009,Ivan Gašparac,prof. dr. sc.,M,redoviti profesor
VG101,"Velimir Gašparović,",dipl. ing.,M,naslovni asistent
IG107,Ivica Gavranić,nasl. doc. dr. sc.,M,naslovni docent
GG007,Gordan Gledec,prof. dr. sc.,M,redoviti profesor u trajnom izboru
MG004,Marin Golub,prof. dr. sc.,M,redoviti profesor
SG106,"Sven Goluža,",mag. ing. comp.,M,asistent
VG022,Vjeran Gomzi,izv. prof. dr. sc.,M,izvanredni profesor
IG153,"Ivan Grabić,",mag. ing. mech.,M,asistent
DG009,Denis Gračanin,izv. prof. dr. sc.,M,izvanredni profesor
GG034,Goran Grdenić,doc. dr. sc.,M,docent
DG008,Davor Grgić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
MG012,Mislav Grgić,prof. dr. sc.,M,redoviti profesor u trajnom zvanju
SG006,Sonja Grgić,prof. dr. sc.,F,redoviti profesor u trajnom zvanju
SG007,Stjepan Groš,izv. prof. dr. sc.,M,izvanredni profesor
DG013,Danijela Grozdanić,dr. sc.,F,povjera predavanja
IG136,Ivan Grubišić,,M,asistent
IG025,Igor Gruić,doc. dr. sc.,M,docent
